Category,Product (CN),Product (EN),Specification,Count,Supply Price (CNY),Min Price (CNY),Price (USD)
中阶,五方贵人,THE FIVE ELEMENTAL GUARDIANS,10mm素单圈,20.0,119.8,339.0,77.0
中阶,五方贵人,THE FIVE ELEMENTAL GUARDIANS,10mm双圈,44.0,239.8,678.0,125.0
中阶,五方贵人,THE FIVE ELEMENTAL GUARDIANS,10mm66籽,72.0,381.8,1399.0,228.0
中阶,五方贵人,THE FIVE ELEMENTAL GUARDIANS,10mm108籽,114.0,593.8,1999.0,314.0
中阶,五方贵人,THE FIVE ELEMENTAL GUARDIANS,15mm单圈,15.0,103.8,389.0,84.0
中阶,五方贵人,THE FIVE ELEMENTAL GUARDIANS,"15mm
27籽手持",28.0,188.6,699.0,128.0
中阶,五方贵人,THE FIVE ELEMENTAL GUARDIANS,18mm单圈,13.0,108.2,439.0,91.0
中阶,五方贵人,THE FIVE ELEMENTAL GUARDIANS,"18mm
18籽手持",19.0,161.0,619.0,117.0
中阶,五方贵人,THE FIVE ELEMENTAL GUARDIANS,"18mm
27籽手持",28.0,222.2,888.0,155.0
中阶,麒麟竭/龙瑞,QI LIN BLOOD RESIN,10mm素单圈,20.0,119.8,339.0,77.0
中阶,麒麟竭/龙瑞,QI LIN BLOOD RESIN,10mm双圈,40.0,219.8,678.0,125.0
中阶,麒麟竭/龙瑞,QI LIN BLOOD RESIN,10mm66籽,72.0,381.8,1399.0,228.0
中阶,麒麟竭/龙瑞,QI LIN BLOOD RESIN,10mm108籽,114.0,593.8,1999.0,314.0
中阶,麒麟竭/龙瑞,QI LIN BLOOD RESIN,15mm单圈,15.0,103.8,389.0,84.0
中阶,麒麟竭/龙瑞,QI LIN BLOOD RESIN,18mm单圈,13.0,108.2,439.0,91.0
中阶,麒麟竭/龙瑞,QI LIN BLOOD RESIN,"18mm
18籽手持",19.0,161.0,619.0,117.0
中阶,麒麟竭/龙瑞,QI LIN BLOOD RESIN,"18mm
27籽手持",28.0,222.2,888.0,155.0
中阶,紫气东来,THE EASTERN PURPLE QI ARRIVES,10mm素单圈,20.0,119.8,339.0,77.0
中阶,紫气东来,THE EASTERN PURPLE QI ARRIVES,10mm双圈,40.0,219.8,678.0,125.0
中阶,紫气东来,THE EASTERN PURPLE QI ARRIVES,10mm66籽,72.0,381.8,1399.0,228.0
中阶,紫气东来,THE EASTERN PURPLE QI ARRIVES,10mm108籽,114.0,593.8,1999.0,314.0
中阶,紫气东来,THE EASTERN PURPLE QI ARRIVES,15mm单圈,15.0,103.8,439.0,91.0
中阶,紫气东来,THE EASTERN PURPLE QI ARRIVES,"15mm
27籽手持",28.0,188.6,699.0,128.0
中阶,紫气东来,THE EASTERN PURPLE QI ARRIVES,18mm单圈,13.0,108.2,439.0,91.0
中阶,紫气东来,THE EASTERN PURPLE QI ARRIVES,"18mm
18籽手持",19.0,161.0,619.0,117.0
中阶,汉宫椒房(/),THE JIAOFANG PEPPER PALACE CHAMBER,10mm素单圈,20.0,119.8,339.0,77.0
中阶,汉宫椒房(/),THE JIAOFANG PEPPER PALACE CHAMBER,10mm双圈,40.0,219.8,678.0,125.0
中阶,汉宫椒房(/),THE JIAOFANG PEPPER PALACE CHAMBER,10mm66籽,72.0,381.8,1399.0,228.0
中阶,汉宫椒房(/),THE JIAOFANG PEPPER PALACE CHAMBER,10mm108籽,114.0,593.8,1999.0,314.0
中阶,汉宫椒房(/),THE JIAOFANG PEPPER PALACE CHAMBER,15mm单圈,15.0,103.8,389.0,84.0
中阶,汉宫椒房(/),THE JIAOFANG PEPPER PALACE CHAMBER,"15mm
27籽手持",28.0,186.6,699.0,128.0
中阶,汉宫椒房(/),THE JIAOFANG PEPPER PALACE CHAMBER,18mm单圈,13.0,108.2,439.0,91.0
中阶,汉宫椒房(/),THE JIAOFANG PEPPER PALACE CHAMBER,"18mm
18籽手持",19.0,161.0,619.0,117.0
中阶,汉宫椒房(/),THE JIAOFANG PEPPER PALACE CHAMBER,"18mm
27籽手持",28.0,222.2,888.0,155.0
中阶,花蕊夫人(),MADAME HUARUI ROSE HEART,10mm素单圈,20.0,119.8,339.0,77.0
中阶,花蕊夫人(),MADAME HUARUI ROSE HEART,10mm双圈,40.0,219.8,678.0,125.0
中阶,花蕊夫人(),MADAME HUARUI ROSE HEART,10mm66籽,72.0,381.8,1399.0,228.0
中阶,花蕊夫人(),MADAME HUARUI ROSE HEART,10mm108籽,114.0,593.8,1999.0,314.0
中阶,花蕊夫人(),MADAME HUARUI ROSE HEART,15mm单圈,15.0,103.8,389.0,84.0
中阶,花蕊夫人(),MADAME HUARUI ROSE HEART,"15mm
27籽手持",28.0,188.6,699.0,128.0
中阶,花蕊夫人(),MADAME HUARUI ROSE HEART,18mm单圈,13.0,108.2,439.0,91.0
中阶,花蕊夫人(),MADAME HUARUI ROSE HEART,"18mm
18籽手持",19.0,161.0,619.0,117.0
中阶,芳华茉莉,YOUTHFUL JASMINE,10mm素单圈,20.0,119.8,339.0,77.0
中阶,芳华茉莉,YOUTHFUL JASMINE,10mm双圈,40.0,219.8,678.0,125.0
中阶,芳华茉莉,YOUTHFUL JASMINE,10mm66籽,72.0,381.8,1399.0,228.0
中阶,芳华茉莉,YOUTHFUL JASMINE,10mm108籽,114.0,593.8,1999.0,314.0
中阶,芳华茉莉,YOUTHFUL JASMINE,15mm单圈,15.0,103.8,389.0,84.0
中阶,芳华茉莉,YOUTHFUL JASMINE,"15mm
27籽手持",28.0,188.6,699.0,128.0
中阶,芳华茉莉,YOUTHFUL JASMINE,18mm单圈,13.0,108.2,439.0,91.0
中阶,芳华茉莉,YOUTHFUL JASMINE,"18mm
18籽手持",19.0,161.0,619.0,117.0
中阶,鹅梨帐中香,Midnight Pear in the Canopy,10mm素单圈,20.0,163.8,439.0,91.0
中阶,鹅梨帐中香,Midnight Pear in the Canopy,10mm双圈,40.0,307.8,878.0,154.0
中阶,鹅梨帐中香,Midnight Pear in the Canopy,10mm66籽,72.0,540.2,1399.0,228.0
中阶,鹅梨帐中香,Midnight Pear in the Canopy,10mm108籽,114.0,844.6,1999.0,314.0
中阶,鹅梨帐中香,Midnight Pear in the Canopy,15mm单圈,15.0,139.8,499.0,100.0
中阶,鹅梨帐中香,Midnight Pear in the Canopy,"15mm
27籽手持",28.0,255.8,999.0,171.0
中阶,鹅梨帐中香,Midnight Pear in the Canopy,18mm单圈,13.0,136.8,569.0,110.0
中阶,鹅梨帐中香,Midnight Pear in the Canopy,"18mm
18籽手持",19.0,202.8,829.0,147.0
中阶,鹅梨帐中香,Midnight Pear in the Canopy,"18mm
27籽手持",28.0,283.8,1199.0,200.0
中阶,归元香,RETURNING TO THE ORIGIN,10mm素单圈,20.0,163.8,439.0,91.0
中阶,归元香,RETURNING TO THE ORIGIN,10mm素双圈,40.0,307.8,878.0,154.0
中阶,归元香,RETURNING TO THE ORIGIN,10mm66籽,72.0,540.2,1399.0,228.0
中阶,归元香,RETURNING TO THE ORIGIN,10mm108籽,114.0,844.6,1999.0,314.0
中阶,归元香,RETURNING TO THE ORIGIN,15mm单圈,15.0,139.8,499.0,100.0
中阶,归元香,RETURNING TO THE ORIGIN,"15mm
27籽手持",28.0,255.8,999.0,171.0
中阶,归元香,RETURNING TO THE ORIGIN,18mm单圈,13.0,136.8,569.0,110.0
中阶,归元香,RETURNING TO THE ORIGIN,"18mm
18籽手持",19.0,202.8,829.0,147.0
中阶,归元香,RETURNING TO THE ORIGIN,"18mm
27籽手持",28.0,283.8,1199.0,200.0
中高阶,七香十二精药,SEVEN FRAGRANCES AND TWELVE ESSENCES,10mm素单圈,20.0,163.8,489.0,98.0
中高阶,七香十二精药,SEVEN FRAGRANCES AND TWELVE ESSENCES,10mm素双圈,40.0,307.8,978.0,168.0
中高阶,七香十二精药,SEVEN FRAGRANCES AND TWELVE ESSENCES,10mm66籽,72.0,540.2,1399.0,228.0
中高阶,七香十二精药,SEVEN FRAGRANCES AND TWELVE ESSENCES,10mm108籽,114.0,844.6,1999.0,314.0
中高阶,七香十二精药,SEVEN FRAGRANCES AND TWELVE ESSENCES,15mm单圈,15.0,139.8,568.0,110.0
中高阶,七香十二精药,SEVEN FRAGRANCES AND TWELVE ESSENCES,"15mm
27籽手持",28.0,255.8,999.0,171.0
中高阶,七香十二精药,SEVEN FRAGRANCES AND TWELVE ESSENCES,18mm单圈,13.0,136.8,650.0,121.0
中高阶,七香十二精药,SEVEN FRAGRANCES AND TWELVE ESSENCES,"18mm
18籽手持",19.0,202.8,899.0,157.0
中高阶,七香十二精药,SEVEN FRAGRANCES AND TWELVE ESSENCES,"18mm
27籽手持",28.0,283.8,1299.0,214.0
中高阶,傅延年,FU YAN NIAN,10mm素单圈,20.0,163.8,520.0,103.0
中高阶,傅延年,FU YAN NIAN,10mm素双圈,40.0,307.8,1039.0,177.0
中高阶,傅延年,FU YAN NIAN,10mm66籽,72.0,540.2,1399.0,228.0
中高阶,傅延年,FU YAN NIAN,10mm108籽,114.0,844.6,1999.0,314.0
中高阶,傅延年,FU YAN NIAN,15mm单圈,15.0,139.8,568.0,110.0
中高阶,傅延年,FU YAN NIAN,"15mm
27籽手持",28.0,255.8,999.0,171.0
中高阶,傅延年,FU YAN NIAN,18mm单圈,13.0,136.8,668.0,124.0
中高阶,傅延年,FU YAN NIAN,"18mm
18籽手持",19.0,202.8,899.0,157.0
中高阶,傅延年,FU YAN NIAN,"18mm
27籽手持",28.0,283.8,1299.0,214.0
中高阶,湖蓝龙梅,LAKE BLUE IMPERIAL PLUIM,10mm素单圈,20.0,235.8,669.0,124.0
中高阶,湖蓝龙梅,LAKE BLUE IMPERIAL PLUIM,15mm单圈,15.0,262.8,869.0,153.0
中高阶,湖蓝龙梅,LAKE BLUE IMPERIAL PLUIM,18mm单圈,13.0,370.8,1169.0,196.0
中高阶,湖蓝龙梅,LAKE BLUE IMPERIAL PLUIM,"18mm
18籽手持",19.0,544.8,1669.0,267.0
中高阶,紫油降真,PURPLE OIL JIANGZHEN INCENSE,10mm素单圈,20.0,235.8,669.0,124.0
中高阶,紫油降真,PURPLE OIL JIANGZHEN INCENSE,15mm单圈,15.0,262.8,869.0,153.0
中高阶,紫油降真,PURPLE OIL JIANGZHEN INCENSE,18mm单圈,13.0,370.8,1169.0,196.0
中高阶,紫油降真,PURPLE OIL JIANGZHEN INCENSE,"18mm
18籽手持",19.0,544.8,1669.0,267.0
中高阶,御制白龙涎,WHITE DRAGON'S REALM,10mm素单圈,20.0,235.8,669.0,124.0
中高阶,御制白龙涎,WHITE DRAGON'S REALM,15mm单圈,15.0,262.8,869.0,153.0
中高阶,御制白龙涎,WHITE DRAGON'S REALM,18mm单圈,13.0,370.8,1169.0,196.0
中高阶,御制白龙涎,WHITE DRAGON'S REALM,"18mm
18籽手持",19.0,534.8,1669.0,267.0
中高阶,御制黑龙涎,IMPERIAL DRAGON'S NECTAR,10mm素单圈,20.0,235.8,669.0,124.0
中高阶,御制黑龙涎,IMPERIAL DRAGON'S NECTAR,15mm单圈,15.0,262.8,869.0,153.0
中高阶,御制黑龙涎,IMPERIAL DRAGON'S NECTAR,18mm单圈,13.0,370.8,1169.0,196.0
中高阶,御制黑龙涎,IMPERIAL DRAGON'S NECTAR,"18mm
18籽手持",19.0,532.8,1669.0,267.0
顶阶,红麝-,RED MUSK SCENTED HARMONY BLEND,10mm素单圈,20.0,2567.0,4068.0,610.0
顶阶,红麝-,RED MUSK SCENTED HARMONY BLEND,14mm单圈,16.0,2639.0,4499.0,671.0
顶阶,红麝-,RED MUSK SCENTED HARMONY BLEND,18mm单圈,13.0,2621.0,4939.0,734.0
顶阶,安宫牛黄,AN GONG NIU HUANG,10mm素单圈,20.0,1343.0,3600.0,543.0
顶阶,安宫牛黄,AN GONG NIU HUANG,14mm单圈,15.0,1397.0,3700.0,557.0
顶阶,安宫牛黄,AN GONG NIU HUANG,18mm单圈,13.0,1451.0,3900.0,586.0
顶阶,大苏合,GRAND SUHE INCENSE,10mm素单圈,20.0,1343.0,3298.0,500.0
顶阶,大苏合,GRAND SUHE INCENSE,14mm单圈,15.0,1397.0,3538.0,534.0
顶阶,大苏合,GRAND SUHE INCENSE,18mm单圈,13.0,1451.0,3738.0,563.0
高阶,返魂香(-),FANTIAN XIANG RETURN SOUL INCENSE,10mm素单圈,20.0,1343.0,2638.0,405.0
高阶,返魂香(-),FANTIAN XIANG RETURN SOUL INCENSE,15mm单圈,15.0,1397.0,3298.0,500.0
高阶,返魂香(-),FANTIAN XIANG RETURN SOUL INCENSE,18mm单圈,13.0,1451.0,3980.0,597.0
高阶,龙涎紫雪,LONG YAN ZI XUE,10素单圈,20.0,1343.0,2638.0,405.0
高阶,龙涎紫雪,LONG YAN ZI XUE,15单圈,15.0,1397.0,3298.0,500.0
高阶,龙涎紫雪,LONG YAN ZI XUE,18单圈,13.0,1503.0,3980.0,597.0
高阶,孔韵迷迭,CONFUCIAN CHARM ROSEMARY,10素单圈,20.0,1343.0,2638.0,405.0
高阶,孔韵迷迭,CONFUCIAN CHARM ROSEMARY,15单圈,15.0,1397.0,3298.0,500.0
高阶,孔韵迷迭,CONFUCIAN CHARM ROSEMARY,18单圈,13.0,1451.0,3980.0,597.0
高阶,内府龙涎,IMPERIAL DRAGON'S BREATH,10素单圈,20.0,1487.0,3600.0,543.0
高阶,内府龙涎,IMPERIAL DRAGON'S BREATH,15单圈,15.0,1802.0,3799.0,571.0
高阶,内府龙涎,IMPERIAL DRAGON'S BREATH,18单圈,13.0,2036.0,3999.0,600.0
高阶,内府龙涎,IMPERIAL DRAGON'S BREATH,,,,,
高阶,内府龙涎,IMPERIAL DRAGON'S BREATH,,,,,
高阶,内府龙涎,IMPERIAL DRAGON'S BREATH,,,,,
